# Pre-purge -> post-purge commit map (2026-07-25)
#
# Emitted by git-filter-repo when .build/, .swiftpm/ and codex-review.diff
# were purged from all history (GH-167 row 8 / #109). Committed as the
# forensic record so any surviving pre-purge SHA citation can be resolved
# by hand later; the 263 in-repo citations were rewritten mechanically
# from this file.
#
# 11 SHAs cited in the artifacts are NOT here: they were refs/pull/* head
# commits from squash-merged epic-9/epic-11 PRs, dropped before the
# rewrite and therefore never remapped. They still resolve on GitHub,
# which retains PR head commits, and no 1:1 successor exists because the
# PRs were squashed. Left as-is rather than repointed at an epic squash,
# which would change what the citation means.
#
# old                                      new
221a1e5454ff2feb467321e8281c0b6318578919 5062f5ac4af238b6567db6ecf1b352044d949d77
2290741ebfff1526087c6c190c221a6df44889d1 b555f726799457d69e8d4360295843a105c3a51f
243e1d29a879a478fcc790b65cd0093e2ad83fd8 3842a9b5be3bb24767775726a43afc216bf01296
281fb00751c85310bad0098d40079e334e67a58f b8255a1bad7821fb46190cd0ff9a221e4e642f05
296073781164c05acfc9864e364891d778bbaa0c 47ada9cf7591acccad868b14e2ae974e55d0f77b
29ced70db86c23f5451e907a1013502eb8a04002 c7ed7da43549186ec73bcb15ec9d3f84f9f435bf
2be87bbe1ed01a887c5003eeecdc6cda534d9c09 a21fdb45758884e533e384ddfb5d6ae8d6879dff
2d2a2c97efa53935ad005593985b8a9293dab9e8 690fe1bfba28e3486041698e18e12028753f510c
31387df9007ef749838b169891879ea79b611a6d f5f2574c9c399467f874f93fc093b50e95f8b11b
3255ec59cd3236b868d849235a2b86e139693a2b 37053647eed389cd80c6aff881684258923c5267
372032a747bcc69d397df07963bbadef7aade4e1 a535111ac4d7e2e60b521cc71ff2b02f66735ad8
37591400917fa11ed93ee7ec0b29ade694f55adf 7193187cb0d8da623e12bf1601db7965da5c7bfe
3978c4c9e4b0c535225946fff858c44f0d9dbc6d be96c07bfe46ad71c98c1696563b5656bae89ecb
3c6a1b2a4d2783c2aa823bbf1457f68f177b538a faf4fff4177c93f1a9c45378c867d54df8ed082e
4027b343e1bea72049133e90fede4a48092b2a57 b09bff4d17aa206d0e9b71c707797360254e19fb
44123bb4ab45c309c77c84b23cef5b30266d2a12 f74e16978165aec6b3728a4740a977aec87b65fe
44a79f8bb8dae72cbcc921ce05352b5351429681 6bffa6ff651630ee17afbc1af03fe548c7a3996c
468a7b302feba6ca84b5d4d3a63cf799ecdf5d0e e31872ed122bc3aaa30ffc5be3632e262aa73438
48483aff606e8f92e2bf580dcab807246161bfbd 9bee3ccbb9dd6ad9d96a1b383cc0b14125df52ff
4b58362e0412b06382a50c4c7529dc5e543a1479 66dc4443f2cbf0bd6d503e96bed409477f92716e
4d178a1867d7fcdde4af725f61f06fe7f584fe9f 6096ab1bb7f42fdd6cc5fa63a7b528f3e807b7de
5009fbf8234b4883407c83e32ac360c957093306 342f97b66d0245b57c8c3b7ca9f58d9a7a13f507
50be70fdf6e4613aff49a550a9cc37372b73af0f 38013c36fe0e119beeae4a69c8178ec2dcab6088
512c2cde77675569a21e872469b5cee1427b92d7 3236b8912dce124ed61816256e66e009bd312802
51fe71b372a48f8a4b856b006e59d8cf8ff76d84 31bbd202ef9a20b1315cd1c6027e5764b31e08d8
53313c062ba91d3dd0843a4c8961efa0cb67a946 2ab78c0e5957ca481a9840270ab89386c1b1dccb
54c29c4d2308011ea6dd2eff3c3c75413451b35a 22faa79f6c67e70c0719973b2e6c9d13922dd043
55bdffa7d3cf768df6a166036accb1c5f623b48a 4c4e49040b738859330db86a216a532329076aec
57c06e9559e0277513de8f495278c7470803e508 43fd906af679415fdb674807023a7e65d303f729
5a6b8ed8f948e37f764780192f72f2a6b31bdfb7 76fb5ef3cf412bd9c41737eb9db6d837e7e5fb7a
5dcae9fe6edfe1a3014740b55a8561c941fb5a13 93f28c97f343ea69bd1f38a5082a39e3c0fd7c43
5e08319eff8b3ee85fe4831149c67be62af1e84c 360ae5ca270514a7d2796cfbe93368cab2d55fbc
61d6161da1664795d4964789870ee1073f4a127f 16d1dc1bd6347db45ffa07794bf79476e9cbff56
66b41176ac1eb38fea5a432eb7068ba173459025 ad18462dbbf2fb78f1e23f3730632842009dbc68
6b72dd6ef18942354eb94264cc7859f5917309f7 595e68aa096bda5baf3616efd1ade57606d0e0f8
6c5270545499138741a10310e4701168d5d70bc0 23d7159df2579677ae365215956cfffa24cc9eff
739e7c1221322bc0895fe8964a8bbda21edbdf7c 49fc97e8ad470216fc5ca65c419bf693ab79953a
739feea27246ec93e3f083885b74258ae1924485 a0a81aa091d24985af424816d7786a8c85a32cd2
73f8188ee68ed4a6496cdd27fc589342236423d0 79e9dc2e99f3f7085d82bcaa42895301d82e81a1
74150b1e098f3f12baa8c6fa60f5cf55e9c68823 5c9943fcf17c31023c7d81e84e960372a6cbc519
743fd558e7c18f9ff4802d87e50208ebd014474f 842adbd399e68d49dcb715b3b5aea3f875d87f05
757d57c96e0677408b1a569a74e1399012106a17 91affe628e49c77b3318f06985ab76fc2a5e0865
7b794d14a1358f4f5a86b4e326c58c10a60f657f 8e12f6c16bd578e1276f7dd61539fa26e7e846ef
7dbdd8a06653a530457d6af6f652a9063a35734e 324232c9bbaa0eea3990ecda506370867090e305
7e6f31e3aa327894fac8c44f544fd2af7a82b785 02f7b9a27ce049e06d35b302fe8bbb7397d3bc0e
7f0a0f3d5b529199c2faae266e820b59d3de975c 7b15edfd058ba390038c61e9128339924e8c597f
81f6616b885d8ab8d664664a9b3e569ac52e87d0 e2dea6098b4e199b287c13eda7038eb0529df170
85932b3d9342393729f699a4338e9b5c16f260da 978a81506bf996c55d28c7a20a6626ff9f51dbde
8678498868803baa3fbbcc45b8bfda1b38c8cd06 74e0fa66dca63e0dc29b75370ef7224f560bb0c3
8a9b761b9bee52060cfd3bb06835d546549d6829 997982bcfa2a32d8ab2988d35b0a461c428f72d6
8c37d6417f908759c5077e0fa3476f2f2e8a866d 9112315a44cf2f5dc1de7a50550db233207855b0
8d932dafcc738354433ad4f3295cae72e442181b fcaddf4cb4d3b84e4d16dcddda199ce3f6dc5142
9185698d6cfb2e59639d38814a3d90ca527171b4 8c4e28f7e54a2ca34544c70f2d969bb036702566
92f40ee29fdaf9765feb9d2993bbf10315b742aa 33ef2daeb678ea5c6265139026209ae9b368465e
9426417d628818419f3df63a0b4e08dab0743c6c 69c1f7e2e7de586d557f34cdd9c40d7e699202b7
97ff86ff3b974ae9bad67c53f641facfbb7ac331 a286475e96b2e14679ce2f5da32134a08ca62df3
988a4f50c553087ffbc60645a6ec1c292c18941f c0a4b178f372cf9fe523f8efc1a9887a718e755d
995432fd2cec90f81ea7f5c38964e7435d48434c f42b7d3ea719a1d1108db994882a78463178988f
9b3c6e3230e5eb54324d0eebf1db9e0827236afa 7399ff2374f4fa73269828d29c57591772bd8cc2
9c486290cd442b859e10ed0ea02dab3a3e9c6900 80d1a60b247d082cce495d21493dfafb8ed60e63
9c6f6af2a466b38fe19df045f2d849a76b759904 802383c491dddcb998feae8b1ea4a07ff115383c
9ec46d7eac4de3cc73e4bc6f1fb30d3a020f37ac 0063aad4b96b51a408f08cd7687724518b7f4082
9fd7c444bfe7cb2761c9724886126e717533d8af 944f57cef7ac9337b18f9a797695c1c27c3fa1e4
a32596819982ef42d7d90732815fb6dfc5028fed 21f5d3441ed3e1b42536dc23799b707a38169dcc
a4728fdd09185720c483df1400459ea88f87530a efe2270dbb006925594e93380a721044a7eadd07
a872df95b4588424656782ed4888a3c2eba23e40 88eb3d6d2bfa7562802c4cab0e7a392fc382ef03
aa0455b921fefb661d795d5c3451f5598e502234 bc777557213a72b46deee8fd6d9a90ce8740fbf9
aa786e351d04a3c6089826f027f46cf9656771d1 161748e199ab04b653429ed1513414a1e021d514
ab94a827bde8b995bc5a4dfc206b684972a84c05 0fa1ae00bbda10ffb50297f679e91cdf4e72adc0
ac490347b7098a664e30530298becbd135a96015 17d7e236bec1868897a0886ff1302671171e03d4
ae04011d31402c16b57cd541b5819b60b0f94024 a973fd66abd77e0302b24584fd68bded7dddec75
ae74c3d5631c5bd51cd504f575f1ffbb898b35fc 9d0124a9d5295f0cf3918931f049ef9763066042
b1457b609d1f94272ce3d719d0acceb15a528d66 75849a58e24e941671b8bdd740cd8f79eab52f7c
b2a412214f271ebe69c72c6e354c5750d8379bd5 840dd603bf52bc90a7412b4633712402d643c21e
b2a87d4a9a89f2750680aa42be8c609dbaceee9e 2309ddd10c1ff316e0cf7bd3375bbac9f35ed770
b6b5dd3bcdff6c46dfb1207ce0e61b873f638a10 4bb2594f5278cd6a9b166161ee6e8bb3e6e706fb
b8b6989cc99767d749cacc0b7af600696ca19a95 b94cdb4e35841aa5384f71e8cff6a0a04be13259
b91e588e972cee309879e5123e2111952a6dcd96 d68daf3b78b5f535ef265556a474077aaa0c4ccb
bad2c0446851857a3305626edfb7d1d6a83adde3 3a3fa48cdc41c1682feb9858c4f6a4de163a3f57
bb42cef4a5a5c2620f002fa86973324b6c4ddb76 5c99d3f42116b48140ab980d1abd14936c94250e
be26fa5a078d77a4ccfc68bfeb335199ad85de5b e7cf9a51ce51c2a64a3cd6e2eaf23e9de0fed886
bee7ee80b630e38c7f2a5132a4e559a21d6ba6af e79f5f6dc2a0c2d3492d249cba45486b6aac0454
c1ba27219a1f90cdd0adf70303911b814b77d384 c629f6052021306084b63b8434845756fd429916
c212298f590c21c6f4af259d1c02cdb86b603519 004a5967ce7e14409a26b2010d52b8ea039145dc
c446069bea90a7c70d1bad26316a5597f0b9c9a5 61fefe48b618e96d116aca459027b14b366f6245
c4e3252f5ba3368894f5a9a589673010493b40e8 69e458a60d50de1e4122c1b4ad313419b2504fd7
c62a40dab82587145e62b2a58c3794a4a2559640 2b080a30bad580349021988fc462a7e6a0952b75
c854dbe2a5c5a8a129317dcc57d6adf404c2549e be53614e1eefda934204ccf937fd95885a75050e
c9144236241eb06972dd4850893d0a1b77016865 de8e4b5fd7d39f82b0c43d54fdcd9aea96e9cca9
ca6a97ffec0ad7a0e511748fba38d0d9c74770cf 8af8b9be26e70ad4f089c5e7b75d991356c9c400
ca8885613424a6954af92151a45280db7f497d4d da5d9d62f0df754936ed09670b5ff89fa8876c01
cb004460d872134f3d249d78db66443871addf22 8bd4f0f9d2582ccc05bc6e9dcee6caf814ef47bf
ceb153d1e01c2aa0448e1dd27880396b941ff55d 159f707e980210e5d6d910bd5411d32c0d5fb1e3
d16bfaecbc252427fcf40d06d3dcb598547e8780 88956a96585918292d7c7432312ea8bd83796a68
d34fe91e5beeb0b06de20c8c3dc28cb45c4b436c 8d1759e7001c32719a919d2c9971d8e756196cf6
d63ca7db26b1af0d7a891e28da6d147317e4228a 39fcefd555b4028f9b1c8da7f8bf420a44c45dbd
d9521fcdf8970c9d46dfc1efb7da2499b004fc3d 0447e63750264ca9116505f4f028ad55db05cb38
dd9345ef9a205943552a6bb67784864d9dd8985f cf90121b29a1d79df2767d27278d62def1152f9d
de8a034749982cffc21dc882eab9fa28f39c4f38 2e5b458f33fddaf505c7bff98adc5104139eed4a
dedd53b2e7be10a292c14930215d9d79c9e9fba6 63eca4ecf94a7568c27d8f2c45555b5777c315c3
df7cb0b43cfc8852204dbf37a683a797c33dff8e b9f4ba70a3cbf9d4ee2f75e98216d518bf9f4307
e826cb38e6ec254eb1a52163da78dcf77af5735e eae0b06a15d5a2ea2cf978e5e54b2f25ace12112
e92445db0c6185e5e62ed081b268797dee063301 e5c0971ca991fd1fe2ae2d60528ccf8d213bb313
eca19a32a541eab2b26c4258651909a76215ab8b 732e59ccc1900f7661aa978ed739075e499b7ec3
ed9cc0b61196ef9d666084c80387431e4fd3377b 2458cb346bd8d0ace7f63f05b6ea17f4593e7ad8
ede4cda9ce53ebe9c99d9460e2edc40e4594d509 671f69f889e749777548fc56e4b6728c55f19142
eee261d26e36caff326059343b2eefee5d083c67 0ffcde7777fb20212a9bfd4d3f24f23463e974a5
effb1d54106acfd83acb34cdd154dd024c30c788 07a235375a0eba32bcdb789c8742debd34db13f0
f15934eff06b2c77e0e833edbbf8afa1d9c8560e 8f84dcd5adb878c64ca01fa9a5e78862f0638646
f1bcdf2c636e6a684533e8a0bdeefd9bd63fc0d4 5a1614786ec7d258280c1b0fb07ca845a1de9f5c
f3305fa8b677e005f4351c6efdf21d41789fcd24 9b9f2c792f4ddb97d022635cf66083dc62cd928e
f5469bd15349672dfdb8b03c29daedc85110c04b cc7d35d70b483436634d9ad344076e035a632d71
f57f0c1f2abfe959968a174fb1d02d65eca701d1 90cb42cbfaedb852013fa4a7c04619bd96d04081
f8ddbbe157e39d2c845a8c3fbffc2dbd1eeb4907 c120bc2e6693401b275ae5243ec89199bc6fed89
f8f26009336055b559af58d3e3810dd18b6f0749 0d4fb353242c5eb4122b8b3653a1ea69fe2a76b6
f91dec44fcc89092ad91f0b35580d5149cbd3635 379a317231db720565c901003d2a73ca33705940
fc05c3fe156a6c1d5c1dc42469e86aa978cfeec7 0799fac96f0c3b31628dfb7f971cc7682596ac3e
